@relation data8

@attribute mean numeric
@attribute variance numeric

@data
2.538462,2.786982
2.192308,2.655325
2.442308,2.977441
2.692308,2.866864
2.538462,3.517751
2.557692,2.477441
2.730769,2.81213
2.076923,2.147929
2.365385,2.693417
2.538462,2.440828
2.653846,2.649408
2.403846,2.586908
2.615385,3.659763
2.903846,3.394601
2.519231,3.095784
2.557692,3.169749
2.615385,3.659763
2.692308,2.905325
2.307692,3.059172
2.615385,2.852071
2.576923,3.321006
2.365385,3.078033
2.692308,2.943787
2.423077,2.205621
2.596154,2.586908
2.865385,2.847263
2.192308,2.309172
2.25,2.841346
2.788462,2.243713
2.230769,2.715976
2.519231,2.557322
2.153846,2.476331
2.25,3.110577
2.730769,2.658284
2.346154,2.995562
1.980769,2.403476
2.134615,2.539571
2.634615,2.616494
2.288462,2.974482
2.423077,3.16716
2.192308,3.386095
2.5,2.865385
2.365385,2.847263
2.442308,3.323595
2.423077,3.859467
2.615385,2.313609
2.519231,3.057322
2.230769,3.100592
2.403846,3.356139
2.403846,2.702293
2.538462,2.440828
2.826923,2.681583
2.5,2.980769
2.326923,2.489275
2.346154,3.072485
2.192308,2.847633
2.403846,3.702293
2.423077,2.205621
2.980769,2.018861
2.826923,3.066198
2.730769,2.235207
2.461538,2.594675
2.557692,2.977441
2.346154,3.380178
2.25,3.033654
2.288462,2.397559
2.288462,3.243713
2.442308,3.669749
2.615385,3.544379
2.519231,3.595784
2.673077,2.758506
2.326923,2.835429
2.25,3.533654
2.653846,3.918639
2.634615,2.654956
2.557692,3.054364
2.634615,2.385725
2.865385,3.078033
2.903846,2.471524
2.076923,3.455621
2.403846,2.663831
2.557692,2.515902
3.038462,2.575444
2.634615,3.654956
3.076923,2.994083
2.442308,2.631287
2.730769,2.350592
2.461538,3.210059
2.288462,2.320636
2.211538,2.243713
2.634615,3.078033
2.173077,2.489275
2.903846,2.202293
2.596154,2.62537
2.538462,3.017751
2.480769,2.903476
2.288462,1.936021
2.615385,3.236686
2.692308,3.174556
1.903846,2.62537
2.365385,2.308802
2.442308,2.631287
2.961538,2.883136
2.730769,2.273669
2.692308,2.789941
2.846154,2.053254
2.365385,2.962648
2.403846,2.856139
2.096154,2.62537
2.057692,3.400518
2.692308,2.789941
2.519231,2.441938
2.75,2.841346
2.461538,2.902367
2.230769,3.023669
2.442308,2.246672
2.807692,2.232249
2.307692,2.713018
2.615385,2.775148
2.673077,3.027737
2.75,2.802885
2.019231,3.557322
2.423077,2.359467
2.769231,2.56213
2.557692,3.400518
2.730769,3.196746
2.807692,2.732249
2.461538,2.940828
2.480769,2.903476
2.288462,2.205251
2.096154,3.163831
2.730769,3.081361
2.230769,1.946746
2.25,3.495192
2.519231,2.903476
2.596154,2.548447
2.903846,2.62537
2.230769,2.946746
2.307692,2.943787
2.711538,2.974482
2.576923,2.282544
2.692308,2.597633
2.423077,3.628698
2.461538,2.633136
2.442308,2.938979
2.576923,2.474852
2.884615,2.448225
2.076923,3.147929
2.673077,2.796967
2.769231,2.715976
2.326923,2.489275
2.288462,2.089867
1.980769,2.288092
2.442308,3.131287
2.365385,3.308802
2.769231,2.754438
2.442308,2.977441
2.519231,3.480399
2.615385,2.467456
2.423077,2.282544
2.442308,2.438979
2.423077,3.282544
2.730769,3.158284
2.153846,2.514793
2.25,2.456731
2.115385,3.294379
2.615385,3.313609
2.557692,2.70821
2.057692,3.323595
2.807692,3.001479
2.980769,3.057322
2.442308,2.477441
2.346154,2.918639
2.519231,2.557322
3.076923,2.686391
2.423077,2.974852
2.769231,2.908284
2.673077,3.10466
2.615385,2.813609
3.076923,3.071006
2.557692,2.785133
2.365385,2.962648
2.346154,2.764793
2.480769,2.480399
2.5,2.980769
2.326923,2.720044
2.346154,2.841716
2.557692,2.785133
2.75,3.302885
2.923077,2.763314
2.480769,2.865015
2.596154,3.12537
2.461538,2.902367
2.730769,3.119822
2.519231,2.941938
2.519231,3.095784
2.326923,3.143121
2.307692,3.059172
2.403846,3.394601
2.711538,3.16679
2.019231,2.441938
2.826923,2.950814
2.634615,3.539571
2.153846,2.976331
2.076923,2.532544
2.826923,3.373891
2.480769,2.557322
3,2.346154
2.596154,2.509985
2.480769,2.865015
2.634615,2.847263
2.480769,3.057322
2.615385,2.08284
2.653846,2.610947
2.634615,2.385725
2.384615,2.698225
2.923077,3.378698
2.846154,3.014793
2.826923,2.450814
2.884615,2.83284
2.884615,2.678994
2.288462,3.051405
2.442308,2.785133
2.038462,2.806213
2.461538,2.594675
2.846154,2.43787
2.346154,2.534024
2.807692,2.463018
2.25,2.918269
2.365385,2.501109
2.096154,3.317678
2.519231,2.672707
2.615385,2.428994
2.884615,2.602071
2.423077,3.321006
2.596154,2.663831
2.230769,2.869822
2.384615,2.852071
2.596154,2.509985
2.538462,2.710059
2.019231,2.865015
2.346154,2.572485
2.807692,2.424556
2.519231,2.903476
2.788462,2.474482
2.673077,2.412352
2.230769,2.177515
2.980769,2.403476
2.384615,2.736686
2.461538,3.056213
2.384615,2.659763
2.346154,2.572485
2.519231,2.980399
2.538462,3.171598
2.653846,2.726331
2.423077,3.436391
2.519231,2.403476
2.288462,2.66679
3.076923,2.147929
2.403846,3.12537
2.615385,2.505917
2.173077,3.027737
2.634615,2.116494
2.326923,2.60466
2.615385,2.698225
2.442308,3.015902
3,3.307692
2.538462,2.863905
2.115385,2.871302
2.75,2.649038
2.75,3.379808
2.230769,2.600592
2.75,2.956731
2.615385,1.890533
2.134615,2.962648
1.788462,2.743713
2.442308,3.515902
2.538462,2.748521
2.865385,3.001109
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
2.211538,2.859098
